epoch,time,bee1_id,bee2_id,task_id,production_count,suppression_count
0,1,1,1,1,3,0
1,2,1,1,1,1,0
2,3,1,1,1,2,0
5,6,1,1,1,1,0
6,7,1,1,1,1,0
7,8,1,1,1,1,0
8,9,1,1,1,3,0
9,10,1,1,1,1,0
11,12,1,1,1,1,0
14,15,1,1,1,1,0
15,16,1,1,1,1,0
16,17,1,1,1,1,0
17,18,1,1,1,1,0
18,19,1,1,1,1,0
19,20,1,1,1,2,0
20,21,1,1,1,3,0
23,24,1,1,1,3,0
24,25,1,1,1,1,0
25,26,1,1,1,3,0
31,32,1,1,1,2,0
32,33,1,1,1,2,0
33,34,1,1,1,2,0
34,35,1,1,1,1,0
35,36,1,1,1,1,0
36,37,1,1,1,3,0
39,40,1,1,1,1,0
41,42,1,1,1,1,0
42,43,1,1,1,2,0
43,44,1,1,1,2,0
44,45,1,1,1,1,0
45,46,1,1,1,2,0
46,47,1,1,1,1,0
47,48,1,1,1,1,0
48,49,1,1,1,1,0
49,50,1,1,1,1,0
52,53,1,1,1,1,0
53,54,1,1,1,1,0
55,56,1,1,1,3,0
56,57,1,1,1,1,0
57,58,1,1,1,1,0
58,59,1,1,1,1,0
60,61,1,1,1,3,0
61,62,1,1,1,1,0
62,63,1,1,1,1,0
63,64,1,1,1,1,0
64,65,1,1,1,3,0
65,66,1,1,1,1,0
66,67,1,1,1,4,0
67,68,1,1,1,1,0
68,69,1,1,1,1,0
70,71,1,1,1,1,0
71,72,1,1,1,1,0
74,75,1,1,1,1,0
75,76,1,1,1,1,0
76,77,1,1,1,2,0
77,78,1,1,1,3,0
79,80,1,1,1,2,0
81,82,1,1,1,1,0
82,83,1,1,1,1,0
84,85,1,1,1,1,0
86,87,1,1,1,1,0
87,88,1,1,1,2,0
88,89,1,1,1,3,0
89,90,1,1,1,2,0
92,93,1,1,1,1,0
93,94,1,1,1,2,0
94,95,1,1,1,1,0
97,98,1,1,1,2,0
99,100,1,1,1,1,0
