root,param_folder,param_dir,event_log_path,config_path,error
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_68_rep_5,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_5,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_5/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_5/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_68_rep_6,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_6,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_6/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_6/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_68_rep_7,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_7,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_7/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_7/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_68_rep_8,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_8,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_8/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_8/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_68_rep_9,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_9,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_9/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_68_rep_9/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_1,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_1/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_1/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_10,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_10,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_10/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_10/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_2,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_2/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_2/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_4,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_4,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_4/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_4/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_5,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_5,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_5/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_5/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_6,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_6,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_6/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_6/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_7,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_7,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_7/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_7/config.json,missing config.json
/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt,param_69_rep_8,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_8,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_8/event_log.csv,/scratch/n/N.Pfaffenzeller/nikolas_nethive/nethive_multiverse/results/big_runs/10b10t15c10000e_between_vals_high_dt/data/param_69_rep_8/config.json,missing config.json
